title,job_type,job_local,num,realtime
PCG04-PCG研发部数据科学家（深圳/北京）,技术类,深圳,1,2018/11/6
PCG04-PCG研发部业务运维工程师（深圳）,技术类,深圳,1,2018/11/6
PCG01-QQ后台高级数据分析工程师,技术类,深圳,1,2018/11/6
TEG06-云计算架构师（深圳）,技术类,深圳,1,2018/11/6
22989-CSIG12-数据库产品经理（成都/深圳/北京）,产品/项目类,深圳,1,2018/11/6
PCG20-企业文化高级经理（北京/深圳）,职能类,北京,1,2018/11/6
PCG11-智慧产品规划岗位（北京）,产品/项目类,北京,2,2018/11/6
CSIG17-大数据及AI测试工程师,技术类,成都,1,2018/11/6
GY0-Marketing Digital Manager,市场类,印度尼西亚,1,2018/11/6
23674-推荐引擎开发工程师（北京）,技术类,北京,2,2018/11/6
23674-新闻后台开发工程师（北京）,技术类,北京,1,2018/11/6
TEG12-运营支撑系统高级产品经理（深圳）,产品/项目类,深圳,1,2018/11/6
23674-腾讯新闻大数据分析工程师（北京）,技术类,北京,2,2018/11/6
28600-211 微信支付合规运营经理（深圳）,产品/项目类,深圳,1,2018/11/6
18425-国际支付业务高级java研发工程师 (深圳),技术类,深圳,1,2018/11/6
PCG01-QQ后台推荐算法工程师,技术类,深圳,1,2018/11/6
PCG01-QQ后台大数据开发工程师,技术类,深圳,1,2018/11/6
23674-push插件开发工程师,技术类,北京,1,2018/11/6
23674-新闻内容理解高级工程师,技术类,北京,4,2018/11/6
22989-腾讯云AI产品高级咨询顾问（深圳北京）,技术类,深圳,1,2018/11/6
23674-短视频-推荐算法高级工程师（北京）,技术类,北京,2,2018/11/6
FC-行政采购商务经理,职能类,深圳,1,2018/11/6
25667-渠道培训运营经理,市场类,深圳,1,2018/11/6
